City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Zapadnaya Dvina,RU,56.259,32.0745,53.76,60,85,6.26,overcast clouds
337,Villa Corzo,MX,16.1667,-93.25,70.9,92,100,2.48,overcast clouds
338,Osmena,PH,10.5208,119.9258,85.23,69,99,10.04,overcast clouds
339,Sur,OM,22.5667,59.5289,97.0,34,0,14.09,clear sky
340,Klaksvik,FO,62.2266,-6.589,45.52,74,9,13.76,clear sky
341,Entre Rios,BR,-11.9419,-38.0844,68.45,97,100,3.78,overcast clouds
342,Tromso,NO,69.6496,18.957,61.38,58,0,5.75,clear sky
343,Eyl,SO,7.9803,49.8164,86.83,53,56,22.24,broken clouds
344,Sanandaj,IR,35.3144,46.9923,62.62,32,0,4.61,clear sky
345,Bodh Gaya,IN,24.7,84.9833,94.89,46,20,3.44,haze
